,name,bean1GridX,bean1GridY,bean2GridX,bean2GridY,playerGridX,playerGridY,reactionTime,trajectory,aimAction,noisePoint,goal,noiseNumber,bottom,height,direction
0,maxModel20,11,3,11,11,4,7,"[0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 2, 2]","[(4, 7), [4, 8], [4, 9], [5, 9], [5, 10], [6, 10], [6, 11], [7, 11], [8, 11], [9, 11], [10, 11], [10, 12], [11, 12], [11, 11]]","[(0, 1), (0, 1), (1, 0), (0, 1), (1, 0), (0, 1), (1, 0), (1, 0), (1, 0), (1, 0), (0, 1), (1, 0), (0, -1)]","[11, 2]","[2, 0, 0, 2, 0, 2, 0, 0, 0, 0, 0, 0, 0]",2,8,7,90
1,maxModel20,4,4,4,10,11,7,"[0, 0, 0, 1, 1, 1, 1, 1, 1, 1]","[(11, 7), [11, 6], [11, 5], [10, 5], [10, 4], [9, 4], [8, 4], [7, 4], [6, 4], [5, 4], [4, 4]]","[(0, -1), (0, -1), (-1, 0), (0, -1), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0)]",[],"[1, 1, 0, 1, 0, 0, 0, 0, 0, 0]",0,6,7,270
2,maxModel20,4,10,10,10,7,4,"[0, 1, 1, 1, 1, 1, 1, 1, 1]","[(7, 4), [8, 4], [8, 5], [8, 6], [8, 7], [8, 8], [9, 8], [9, 9], [10, 9], [10, 10]]","[(1, 0), (0, 1), (0, 1), (0, 1), (0, 1), (1, 0), (0, 1), (1, 0), (0, 1)]",[1],"[1, 0, 0, 0, 0, 2, 0, 2, 0]",1,6,6,180
3,maxModel20,8,5,8,9,14,7,"[0, 1, 1, 1, 1, 1, 1, 1]","[(14, 7), [14, 6], [14, 5], [13, 5], [12, 5], [11, 5], [10, 5], [9, 5], [8, 5]]","[(0, -1), (0, -1), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0)]",[],"[1, 1, 0, 0, 0, 0, 0, 0]",0,4,6,270
4,maxModel20,4,0,10,0,7,8,"[0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2]","[(7, 8), [6, 8], [5, 8], [4, 8], [4, 7], [4, 6], [4, 5], [4, 4], [4, 3], [5, 3], [4, 3], [5, 3], [4, 3], [4, 2], [4, 1], [4, 0]]","[(-1, 0), (-1, 0), (-1, 0), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (1, 0), (-1, 0), (1, 0), (-1, 0), (0, -1), (0, -1), (0, -1)]","[9, 11]","[1, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0]",2,6,8,0
5,maxModel20,5,3,9,3,7,10,"[0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 2]","[(7, 10), [6, 10], [6, 9], [6, 8], [6, 7], [6, 6], [6, 5], [5, 5], [5, 6], [5, 5], [5, 4], [5, 3]]","[(-1, 0), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (-1, 0), (0, 1), (0, -1), (0, -1), (0, -1)]",[8],"[1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]",1,4,7,0
6,maxModel20,3,14,11,14,7,6,"[1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2]","[(7, 6), [8, 6], [8, 7], [8, 8], [8, 9], [8, 10], [8, 11], [9, 11], [10, 11], [11, 11], [11, 12], [11, 13], [11, 14]]","[(1, 0), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (1, 0), (1, 0), (1, 0), (0, 1), (0, 1), (0, 1)]",[],"[2, 0, 0, 0, 0, 0, 2, 2, 2, 0, 0, 0]",0,8,8,180
7,maxModel20,7,3,7,11,1,7,"[0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1]","[(1, 7), [1, 6], [1, 5], [2, 5], [2, 4], [3, 4], [3, 3], [4, 3], [5, 3], [6, 3], [6, 4], [7, 4], [7, 3]]","[(0, -1), (0, -1), (1, 0), (0, -1), (1, 0), (0, -1), (1, 0), (1, 0), (1, 0), (0, 1), (1, 0), (0, -1)]",[10],"[1, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1]",1,8,6,90
8,maxModel20,6,5,6,9,14,7,"[0, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 2]","[(14, 7), [13, 7], [13, 6], [12, 6], [12, 5], [12, 4], [11, 4], [10, 4], [9, 4], [8, 4], [9, 4], [8, 4], [8, 5], [7, 5], [6, 5]]","[(-1, 0), (0, -1), (-1, 0), (0, -1), (0, -1), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (1, 0), (-1, 0), (0, 1), (-1, 0), (-1, 0)]","[10, 5]","[0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2,4,8,270
9,maxModel20,4,4,4,10,12,7,"[0, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2]","[(12, 7), [12, 8], [12, 9], [12, 10], [11, 10], [10, 10], [9, 10], [8, 10], [7, 10], [6, 10], [5, 10], [4, 10]]","[(0, -1), (0, 1), (0, 1), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0)]",[1],"[1, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0]",special,6,8,270
0,maxModel20,13,5,13,9,5,7,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[(5, 7), [5, 8], [6, 8], [7, 8], [8, 8], [9, 8], [10, 8], [11, 8], [12, 8], [13, 8], [13, 7], [13, 8], [13, 9]]","[(0, 1), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (0, -1), (0, 1), (0, 1)]","[1, 10]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 2]",2,4,8,90
1,maxModel20,4,12,10,12,7,4,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[(7, 4), [7, 5], [7, 6], [7, 7], [7, 8], [7, 9], [7, 10], [7, 11], [8, 11], [9, 11], [9, 12], [10, 12]]","[(0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (1, 0), (1, 0), (0, 1), (1, 0)]",[],"[0, 0, 0, 0, 0, 0, 0, 2, 2, 0, 2]",0,6,8,180
